CP;Municipio;Provincia
06001;Badajoz;Badajoz
06002;Badajoz;Badajoz
06003;Badajoz;Badajoz
06004;Badajoz;Badajoz
06005;Badajoz;Badajoz
06006;Badajoz;Badajoz
06007;Badajoz;Badajoz
06008;Badajoz;Badajoz
06009;Badajoz;Badajoz
06010;Badajoz;Badajoz
06011;Badajoz;Badajoz
06012;Badajoz;Badajoz
06050;Badajoz;Badajoz
06070;Badajoz;Badajoz
06071;Badajoz;Badajoz
06080;Badajoz;Badajoz
06105;Cheles;Badajoz
06110;Villanueva del Fresno;Badajoz
06120;Oliva de la Frontera;Badajoz
06129;Zahínos;Badajoz
06130;Valverde de Leganés;Badajoz
06131;Alconchel;Badajoz
06132;Higuera de Vargas;Badajoz
06133;Táliga;Badajoz
06134;Valencia del Mombuey;Badajoz
06160;Barcarrota;Badajoz
06170;Badajoz;Badajoz
06174;Salvaleón;Badajoz
06175;Salvatierra de los Barros;Badajoz
06176;La Morera;Badajoz
06177;Valle de Matamoros;Badajoz
06178;Valle de Santa Ana;Badajoz
06180;Badajoz;Badajoz
06181;Badajoz;Badajoz
06182;Badajoz;Badajoz
06183;Badajoz;Badajoz
06184;Badajoz;Badajoz
06190;Badajoz;Badajoz
06191;Puebla de Obando;Badajoz
06193;Badajoz;Badajoz
06194;Badajoz;Badajoz
06195;Badajoz;Badajoz
06200;Almendralejo;Badajoz
06207;Aceuchal;Badajoz
06208;Villalba de los Barros;Badajoz
06210;Torremejía;Badajoz
06220;Villafranca de los Barros;Badajoz
06225;Ribera del Fresno;Badajoz
06226;Hinojosa del Valle;Badajoz
06227;Llera;Badajoz
06228;Hornachos;Badajoz
06229;Puebla del Prior;Badajoz
06230;Los Santos de Maimona;Badajoz
06240;Fuente de Cantos;Badajoz
06249;Calzadilla de los Barros;Badajoz
06250;Bienvenida;Badajoz
06260;Monesterio;Badajoz
06270;Segura de León;Badajoz
06280;Fuentes de León;Badajoz
06290;Usagre;Badajoz
06291;Montemolín;Badajoz
06292;Calera de León;Badajoz
06293;Cabeza la Vaca;Badajoz
06300;Zafra;Badajoz
