CP;POBLACION;KM_BADAJOZ;DIA_VOLUMINOSA
10262;Abertura;129;JUEVES
06730;Acedera;134;JUEVES
10879;Acehúche;153;LUNES
10515;Aceña la borrega;;LUNES
06207;Aceuchal;58;MARTES
06940;Ahillones;130;MIÉRCOLES
10690;Alagon;;LUNES
06840;Alange;79;MARTES
10187;Albalá;104;MARTES
06170;Albuera, La;23;LUNES, MIÉRCOLES, VIERNES
06510;Alburquerque;44;LUNES
10980;Alcántara;113;LUNES
06182;Alcazaba;;LUNES, MARTES Y JUEVES
10135;Alcollarín;129;JUEVES
06131;Alconchel;45;MIÉRCOLES
06393;Alconera;85;MIÉRCOLES
10515;Alcorneo / Aldehuela jerte;;LUNES
10160;Alcuéscar;92;MARTES
06196;Aldea de Retamal;;MARTES
10291;Aldea de Trujillo;;MARTES
10163;Aldea del Cano;104;VIERNES
06196;Aldea del Cura;;MARTES
10291;Aldea del Obispo, La;161;MARTES
10195;Aldea Moret;;LUNES Y VIERNES
10251;Aldeacentenera;177;MARTES
10137;Alía;196;JUEVES
10550;Aliseda;71;LUNES
06894;Aljucén;74;MARTES
10350;Almaraz;196;MARTES
06171;Almendral;35;MIÉRCOLES
06200;Almendralejo;58;MARTES
10132;Almoharín;118;JUEVES
10109;Alonso de Ojeda;;JUEVES
06170;Alvarado;;LUNES, MARTES Y JUEVES
06036;Arronches (Portugal);;VIERNES
10900;Arroyo de la Luz;84;LUNES
06850;Arroyo de San Serván;51;MARTES
10161;Arroyomolinos;102;MARTES
10513;Atoquedo;;LUNES
06920;Azuaga;146;MIÉRCOLES
06195;Balboa;;LUNES, MARTES Y JUEVES
10319;Baldío;;LUNES
06499;Barbaño;;MARTES Y JUEVES
06160;Barcarrota;47;MIÉRCOLES
06050;Base Aérea Talavera;;
10692;Batan, El;;LUNES
06659;Baterno;202;JUEVES
10591;Bazogana, La;;LUNES
10292;Belén;;MARTES
06519;Benavente;;LUNES
10185;Benquerencia;118;MARTES
06429;Benquerencia de la Serena;158;JUEVES
06930;Berlanga;134;MIÉRCOLES
10129;Berzocana;172;JUEVES
06250;Bienvenida;105;MIÉRCOLES
06394;Bodonal de la Sierra;104;MIÉRCOLES
10320;Bohonal de Ibor;218;MARTES
10185;Botija;126;MARTES
06193;Botoa;;LUNES, JUEVES, VIERNES
06389;Brovales;;MIÉRCOLES
10950;Brozas;99;LUNES
06370;Burguillos del Cerro;80;MIÉRCOLES
06600;Cabeza del Buey;185;JUEVES
