CP;POBLACION;DIA_VOLUMINOSA
10262;Abertura;JUEVES
06730;Acedera;JUEVES
10879;Acehúche;LUNES
10515;Aceña la borrega;LUNES
06207;Aceuchal;MARTES
06940;Ahillones;MIÉRCOLES
10690;Alagon;LUNES
06840;Alange;MARTES
10187;Albalá;MARTES
06170;Albuera, La;LUNES, MIÉRCOLES, VIERNES
06510;Alburquerque;LUNES
10980;Alcántara;LUNES
06182;Alcazaba;LUNES, MARTES Y JUEVES
10135;Alcollarín;JUEVES
06131;Alconchel;MIÉRCOLES
06393;Alconera;MIÉRCOLES
10515;Alcorneo / Aldehuela jerte;LUNES
10160;Alcuéscar;MARTES
06196;Aldea de Retamal;MARTES
10291;Aldea de Trujillo;MARTES
10163;Aldea del Cano;VIERNES
06196;Aldea del Cura;MARTES
10291;Aldea del Obispo, La;MARTES
10195;Aldea Moret;LUNES Y VIERNES
10251;Aldeacentenera;MARTES
10137;Alía;JUEVES
10550;Aliseda;LUNES
06894;Aljucén;MARTES
10350;Almaraz;MARTES
06171;Almendral;MIÉRCOLES
06200;Almendralejo;MARTES
10132;Almoharín;JUEVES
10109;Alonso de Ojeda;JUEVES
06170;Alvarado;LUNES, MARTES Y JUEVES
06036;Arronches (Portugal);VIERNES
10900;Arroyo de la Luz;LUNES
06850;Arroyo de San Serván;MARTES
10161;Arroyomolinos;MARTES
10513;Atoquedo;LUNES
06920;Azuaga;MIÉRCOLES
060XX;Badajoz;TODOS LOS DIAS
06195;Balboa;LUNES, MARTES Y JUEVES
10319;Baldío;LUNES
06499;Barbaño;MARTES Y JUEVES
06160;Barcarrota;MIÉRCOLES
06050;Base Aérea Talavera;
10692;Batan, El;LUNES
06659;Baterno;JUEVES
10591;Bazogana, La;LUNES
10292;Belén;MARTES
06519;Benavente;LUNES
10185;Benquerencia;MARTES
06429;Benquerencia de la Serena;JUEVES
06930;Berlanga;MIÉRCOLES
10129;Berzocana;JUEVES
06250;Bienvenida;MIÉRCOLES
06394;Bodonal de la Sierra;MIÉRCOLES
10320;Bohonal de Ibor;MARTES
10185;Botija;MARTES
06193;Botoa;LUNES, JUEVES, VIERNES
06389;Brovales;MIÉRCOLES
10950;Brozas;LUNES
06370;Burguillos del Cerro;MIÉRCOLES
06600;Cabeza del Buey;JUEVES
06293;Cabeza la Vaca;MIÉRCOLES
1000X;Cáceres;LUNES Y VIERNES
06047;Caia (Portugal);
06810;Calamonte;MARTES
06292;Calera de León;MIÉRCOLES
06249;Calzadilla de los Barros;MIÉRCOLES
06460;Campanario;JUEVES
10329;Campillo de Deleitosa;MARTES
06443;Campillo de Llerena;MIÉRCOLES
10134;Campo Lugar;JUEVES
06037;Campo Maior (Portugal);VIERNES
10136;Cañamero;JUEVES
10820;Cañaveral;LUNES
06612;Capilla;JUEVES
10511;Carbajo;LUNES
06488;Carmonita;MARTES
10331;Carrascalejo;JUEVES
06894;Carrascalejo, El;MARTES
10190;Casar de Cáceres;LUNES Y VIERNES
10109;Casar de Miajadas;JUEVES
10162;Casas de Don Antonio;VIERNES
06770;Casas de Don Pedro;JUEVES
10592;Casas de Millán;LUNES
10630;Casas de Miravete;MARTES
06960;Casas de Reina;MIERCOLES
10516;Casiñás, / Carcaboso;LUNES
10340;Castañar de Ibor;MARTES
06420;Castuera;JUEVES
10870;Ceclavin;LUNES
10513;Cedillo;LUNES
06105;Cheles;MIÉRCOLES
06518;Codosera, La;LUNES
06410;Conquista;JUEVES
10240;Conquista de la Sierra;MARTES
06509;Convento, El;LUNES
06487;Cordobilla de Lácara;MARTES
10800;Coria;LUNES
06469;Coronada, La;JUEVES
06196;Corte de Peleas;MARTES
06196;Cortegana;MARTES
06892;Coto de Campomanes;JUEVES
06038;Crato (Portugal);VIERNES
06479;Cristina;MARTES
10110;Critóbal Colón;JUEVES
10270;Cumbre, La;MARTES
10370;Deleitosa;MARTES
06820;Don Álvaro;MARTES
06400;Don Benito;JUEVES
06048;Elvas (Portugal);LUNES, JUEVES Y VIERNES
06710;Entrerrios;JUEVES
06197;Entrín Alto;MIÉRCOLES
06197;Entrín Bajo;MIÉRCOLES
10133;Escurial;JUEVES
06860;Esparragalejo;MARTES
06620;Esparragosa de la Serena;JUEVES
06620;Esparragosa de Lares;JUEVES
06860;Estación de Aljucen;JUEVES
10990;Estorninos;LUNES
06042;Estremoz (Portugal);VIERNES
06030;Évora (Portugal);VIERNES
