Provincia;Municipio;Código Postal;Distancia Estimada (km);Zona Asignada;Tarifa Base (€);IVA 21% (€);Tarifa Total con IVA (€)
Badajoz;Badajoz;6001;0;A;25;5,25;30,25
Badajoz;Badajoz;6002;0;A;25;5,25;30,25
Badajoz;Badajoz;6003;0;A;25;5,25;30,25
Badajoz;Badajoz;6004;0;A;25;5,25;30,25
Badajoz;Badajoz;6005;0;A;25;5,25;30,25
Badajoz;Badajoz;6006;0;A;25;5,25;30,25
Badajoz;Badajoz;6007;0;A;25;5,25;30,25
Badajoz;Badajoz;6008;0;A;25;5,25;30,25
Badajoz;Badajoz;6009;0;A;25;5,25;30,25
Badajoz;Badajoz;6010;0;A;25;5,25;30,25
Badajoz;Badajoz;6011;0;A;25;5,25;30,25
Badajoz;Valverde de Leganés;6110;10;A;25;5,25;30,25
Badajoz;La Albuera;6107;15;A;25;5,25;30,25
Badajoz;Puebla de Obando;6139;21;A;25;5,25;30,25
Badajoz;Talavera la Real;6150;19;A;25;5,25;30,25
Badajoz;Olivenza;6100;24;A;25;5,25;30,25
Badajoz;Entrín Bajo;6109;22;A;25;5,25;30,25
Badajoz;Valdelacalzada;6195;18;A;25;5,25;30,25
Badajoz;Novelda del Guadiana;6196;23;A;25;5,25;30,25
Badajoz;San Francisco de Olivenza;6108;20;A;25;5,25;30,25
Badajoz;Villar del Rey;6132;29;B;28;5,88;33,88
Badajoz;La Roca de la Sierra;6133;34;B;28;5,88;33,88
Badajoz;Alburquerque;6510;37;B;28;5,88;33,88
Badajoz;La Codosera;6131;44;B;28;5,88;33,88
Badajoz;Montijo;6480;31;B;28;5,88;33,88
Badajoz;Pueblonuevo del Guadiana;6481;33;B;28;5,88;33,88
Badajoz;Lobón;6450;33;B;28;5,88;33,88
Badajoz;Barcarrota;6160;41;B;28;5,88;33,88
Badajoz;Alconchel;6111;43;B;28;5,88;33,88
Badajoz;Salvaleón;6174;42;B;28;5,88;33,88
Badajoz;Salvatierra de los Barros;6175;45;B;28;5,88;33,88
Badajoz;Nogales;6176;44;B;28;5,88;33,88
Badajoz;Cordobilla de Lácara;6179;38;B;28;5,88;33,88
Badajoz;Don Álvaro;6178;44;B;28;5,88;33,88
Badajoz;La Nava de Santiago;6183;41;B;28;5,88;33,88
Badajoz;Mirandilla;6180;47;B;28;5,88;33,88
Badajoz;Trujillanos;6184;48;B;28;5,88;33,88
Badajoz;Esparragalejo;6185;46;B;28;5,88;33,88
Badajoz;Torremayor;6186;45;B;28;5,88;33,88
Badajoz;Solana de los Barros;6172;46;B;28;5,88;33,88
Badajoz;Torre de Miguel Sesmero;6173;49;B;28;5,88;33,88
Badajoz;Mérida;6800;55;C;31;6,51;37,51
Badajoz;Mérida;6801;55;C;31;6,51;37,51
Badajoz;Mérida;6802;55;C;31;6,51;37,51
Badajoz;Almendralejo;6200;53;C;31;6,51;37,51
Badajoz;Almendralejo;6201;53;C;31;6,51;37,51
Badajoz;Aceuchal;6202;57;C;31;6,51;37,51
Badajoz;Torremejía;6170;52;C;31;6,51;37,51
Badajoz;Zarza de Alange;6171;53;C;31;6,51;37,51
Badajoz;Villafranca de los Barros;6220;61;C;31;6,51;37,51
Badajoz;Fuente del Maestre;6217;68;C;31;6,51;37,51
