MUNICIPIO;CP;PROVINCIA;FRECUENCIA;TARIFA RAEE;TARIFA NO RAEE
Badajoz;6001;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6002;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6003;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6004;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6005;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6006;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6007;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6008;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6009;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6010;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Badajoz;6011;Badajoz;LUNES A SABADO;36,00 Ä;32,00 Ä
Olivenza;6100;Badajoz;MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Cheles;6105;Badajoz;MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Villanueva del Fresno;6110;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Oliva de la Frontera;6120;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Zah√≠nos;6129;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Valverde de Legan√©s;6130;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Alconchel;6131;Badajoz;MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Higuera de Vargas;6132;Badajoz;MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
T√°liga;6133;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Valencia del Mombuey;6134;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Talavera la Real;6140;Badajoz;MARTES - JUEVES;38,00 Ä;34,00 Ä
Santa Marta de los Barros;6150;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Barcarrota;6160;Badajoz;MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Albuera (La);6170;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Almendral;6171;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Torre de Miguel Sesmero;6172;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Nogales;6173;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Salvale√≥n;6174;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Salvatierra de los Barros;6175;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Morera (La);6176;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Parra (La);6176;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Valle de Matamoros;6177;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Valle de Santa Ana;6178;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Pueblonuevo del Guadiana;6184;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Valdelacalzada;6185;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Roca de la Sierra (La);6190;Badajoz;LUNES - VIERNES;38,00 Ä;34,00 Ä
Puebla de Obando;6191;Badajoz;LUNES - VIERNES;38,00 Ä;34,00 Ä
Villar del Rey;6192;Badajoz;LUNES - VIERNES;38,00 Ä;34,00 Ä
Corte de Peleas;6196;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Entrin Bajo;6197;Badajoz;JUEVES;38,00 Ä;34,00 Ä
Almendralejo;6200;Badajoz;MARTES - MIERCOLES;38,00 Ä;34,00 Ä
Aceuchal;6207;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Villalba de los Barros;6208;Badajoz;MARTES;38,00 Ä;34,00 Ä
Solana de los Barros;6209;Badajoz;MARTES;38,00 Ä;34,00 Ä
Torremegia;6210;Badajoz;MARTES;38,00 Ä;34,00 Ä
Villafranca de los Barros;6220;Badajoz;MARTES - MIERCOLES;38,00 Ä;34,00 Ä
Ribera del Fresno;6225;Badajoz;MARTES;40,00 Ä;36,00 Ä
Hinojosa del Valle;6226;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Llera;6227;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Hornachos;6228;Badajoz;MI…RCOLES;40,00 Ä;36,00 Ä
Puebla del Prior;6229;Badajoz;MARTES;40,00 Ä;36,00 Ä
Santos de Maimona;6230;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Fuente de Cantos;6240;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Calzadilla de los Barros;6249;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Bienvenida;6250;Badajoz;MIERCOLES;42,00 Ä;38,00 Ä
Monesterio;6260;Badajoz;MIERCOLES - VIERNES;42,00 Ä;38,00 Ä
Segura de Le√≥n;6270;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Fuentes de Leon;6280;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Usagre;6290;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Montemolin;6291;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Calera de Leon;6292;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Cabeza la Vaca;6293;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Zafra;6300;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Puebla de Sancho P√©rez;6310;Badajoz;MIERCOLES ;40,00 Ä;36,00 Ä
Medina de las Torres;6320;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Atalaya;6329;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Valencia del Ventoso;6330;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Fregenal de la Sierra;6340;Badajoz; MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Higuera la Real;6350;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Fuente del Maestre;6360;Badajoz;MARTES  - JUEVES;36,00 Ä;34,00 Ä
Burguillos del Cerro;6370;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Valverde de Burguillos;6378;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Jerez de los Caballeros;6380;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Feria;6390;Badajoz;JUEVES;38,00 Ä;34,00 Ä
Lapa (La);6391;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Alconera;6393;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Bodonal de la Sierra;6394;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Don Benito;6400;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Santa Amalia;6410;Badajoz;JUEVES ;42,00 Ä;38,00 Ä
Medellin;6411;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Mengabril;6413;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Castuera;6420;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Monterrubio de la Serena;6427;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Benquerencia de la Serena;6429;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Zalamea de la Serena;6430;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Esparragosa de la Serena;6439;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Malpartida de la Serena;6440;Badajoz;JUEVES ;45,00 Ä;41,00 Ä
Higuera de la Serena;6441;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Retamal de Llerena;6442;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Campillo de Llerena;6443;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Valencia de las Torres;6444;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Higuera de Llerena;6445;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Quintana de la Serena;6450;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Valle de la Serena;6458;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Campanario;6460;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Magacela;6468;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Coronada (La);6469;Badajoz;JUEVES;42,00 Ä;38,00 Ä
GuareÒa;6470;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Villagonzalo;6473;Badajoz;MARTES;38,00 Ä;34,00 Ä
Valdetorres;6474;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Oliva de Merida;6475;Badajoz;MARTES -  JUEVES;38,00 Ä;34,00 Ä
Palomas;6476;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Puebla de la Reina;6477;Badajoz;MARTES;38,00 Ä;34,00 Ä
Manchita;6478;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Cristina;6479;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Montijo;6480;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
Nava de Santiago (La);6486;Badajoz;MARTES;36,00 Ä;32,00 Ä
Cordobilla de Lacara;6487;Badajoz;MARTES;36,00 Ä;32,00 Ä
Carmonita;6488;Badajoz;MARTES;36,00 Ä;32,00 Ä
Puebla de la Calzada;6490;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
Lobon;6498;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
San Vicente de Alc√°ntara;6500;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Alburquerque;6510;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Codosera (La);6518;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Cabeza del Buey;6600;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Pe√±alsordo;6610;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Zarza-Capilla;6611;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Capilla;6612;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Esparragosa de Lares;6620;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Puebla de Alcocer;6630;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Talarrubias;6640;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Siruela;6650;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Sancti-Sp√≠ritus;6655;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Garlitos;6656;Badajoz;JUEVES;47,00 Ä;43,00 Ä
